Auth_ID,Processing_Time_ms,Status,State,Modality
AUTH0001,170.97,Success,Delhi,Demographic
AUTH0002,266.24,Failure,Uttar Pradesh,Biometric
AUTH0003,221.28,Timeout,Tamil Nadu,Biometric
AUTH0004,234.32,Timeout,Tamil Nadu,Demographic
AUTH0005,130.83,Success,Karnataka,Biometric
AUTH0006,147.16,Success,Delhi,Biometric
AUTH0007,143.93,Failure,Tamil Nadu,Demographic
AUTH0008,171.3,Success,Tamil Nadu,Biometric
AUTH0009,213.11,Success,Tamil Nadu,Demographic
AUTH0010,181.8,Success,Maharashtra,Biometric
AUTH0011,163.63,Failure,Uttar Pradesh,Demographic
AUTH0012,208.91,Success,Tamil Nadu,Biometric
AUTH0013,154.56,Timeout,Tamil Nadu,Demographic
AUTH0014,175.62,Success,Maharashtra,Demographic
AUTH0015,160.56,Timeout,Karnataka,Demographic
AUTH0016,174.02,Success,Karnataka,Demographic
AUTH0017,90.51,Success,Tamil Nadu,Demographic
AUTH0018,240.84,Timeout,Tamil Nadu,Demographic
AUTH0019,205.32,Success,Karnataka,Biometric
AUTH0020,165.26,Timeout,Delhi,Biometric
AUTH0021,250.22,Success,Maharashtra,Biometric
AUTH0022,275.53,Success,Uttar Pradesh,Biometric
AUTH0023,284.39,Failure,Maharashtra,Biometric
AUTH0024,202.29,Timeout,Karnataka,Biometric
AUTH0025,232.69,Timeout,Karnataka,Demographic
AUTH0026,88.32,Failure,Tamil Nadu,Biometric
AUTH0027,273.44,Success,Delhi,Biometric
AUTH0028,174.95,Success,Delhi,Demographic
AUTH0029,268.35,Success,Delhi,Demographic
AUTH0030,163.94,Success,Tamil Nadu,Demographic
AUTH0031,303.08,Failure,Uttar Pradesh,Demographic
AUTH0032,253.89,Timeout,Maharashtra,Biometric
AUTH0033,170.02,Success,Tamil Nadu,Biometric
AUTH0034,152.04,Success,Delhi,Biometric
AUTH0035,194.29,Timeout,Uttar Pradesh,Demographic
AUTH0036,180.95,Success,Uttar Pradesh,Demographic
AUTH0037,239.77,Success,Karnataka,Demographic
AUTH0038,245.72,Failure,Karnataka,Biometric
AUTH0039,131.15,Timeout,Karnataka,Biometric
AUTH0040,189.02,Failure,Delhi,Demographic
AUTH0041,208.03,Failure,Delhi,Demographic
AUTH0042,248.74,Success,Uttar Pradesh,Biometric
AUTH0043,266.1,Success,Delhi,Biometric
AUTH0044,228.55,Failure,Maharashtra,Biometric
AUTH0045,174.31,Failure,Karnataka,Demographic
AUTH0046,262.75,Success,Tamil Nadu,Biometric
AUTH0047,250.53,Failure,Karnataka,Demographic
AUTH0048,212.77,Failure,Delhi,Demographic
AUTH0049,164.36,Success,Maharashtra,Demographic
AUTH0050,115.83,Success,Maharashtra,Biometric
AUTH0051,154.39,Success,Maharashtra,Biometric
AUTH0052,215.19,Timeout,Maharashtra,Demographic
AUTH0053,174.93,Failure,Maharashtra,Biometric
AUTH0054,77.66,Failure,Maharashtra,Demographic
AUTH0055,228.46,Timeout,Tamil Nadu,Demographic
AUTH0056,204.94,Timeout,Delhi,Demographic
AUTH0057,195.81,Success,Uttar Pradesh,Demographic
AUTH0058,165.67,Timeout,Maharashtra,Demographic
AUTH0059,166.86,Success,Tamil Nadu,Demographic
AUTH0060,199.3,Failure,Tamil Nadu,Biometric
AUTH0061,200.12,Success,Delhi,Biometric
AUTH0062,161.64,Success,Tamil Nadu,Biometric
AUTH0063,172.73,Success,Maharashtra,Demographic
AUTH0064,216.57,Timeout,Delhi,Demographic
AUTH0065,278.5,Success,Tamil Nadu,Biometric
AUTH0066,205.03,Success,Karnataka,Biometric
AUTH0067,180.4,Success,Uttar Pradesh,Demographic
AUTH0068,148.12,Success,Maharashtra,Biometric
AUTH0069,227.46,Timeout,Tamil Nadu,Demographic
AUTH0070,148.93,Failure,Tamil Nadu,Demographic
AUTH0071,165.75,Timeout,Delhi,Demographic
AUTH0072,164.39,Success,Delhi,Demographic
AUTH0073,187.2,Success,Uttar Pradesh,Demographic
AUTH0074,218.25,Failure,Karnataka,Biometric
AUTH0075,276.92,Success,Karnataka,Biometric
AUTH0076,104.82,Failure,Delhi,Biometric
AUTH0077,133.58,Timeout,Karnataka,Demographic
AUTH0078,227.42,Success,Uttar Pradesh,Biometric
AUTH0079,258.73,Success,Uttar Pradesh,Biometric
AUTH0080,109.21,Success,Karnataka,Demographic
AUTH0081,260.19,Success,Karnataka,Demographic
AUTH0082,188.63,Success,Delhi,Biometric
AUTH0083,204.49,Timeout,Maharashtra,Biometric
AUTH0084,169.64,Success,Uttar Pradesh,Demographic
AUTH0085,242.5,Success,Tamil Nadu,Demographic
AUTH0086,229.98,Success,Tamil Nadu,Biometric
AUTH0087,228.1,Timeout,Maharashtra,Biometric
AUTH0088,216.59,Failure,Maharashtra,Biometric
AUTH0089,294.51,Success,Tamil Nadu,Biometric
AUTH0090,106.31,Timeout,Tamil Nadu,Biometric
AUTH0091,259.67,Failure,Uttar Pradesh,Biometric
AUTH0092,166.85,Success,Delhi,Biometric
AUTH0093,219.37,Success,Karnataka,Demographic
AUTH0094,204.76,Success,Tamil Nadu,Demographic
AUTH0095,260.9,Success,Maharashtra,Demographic
AUTH0096,160.7,Success,Tamil Nadu,Demographic
AUTH0097,213.48,Success,Delhi,Demographic
AUTH0098,199.33,Failure,Maharashtra,Demographic
AUTH0099,233.87,Success,Delhi,Demographic
AUTH0100,215.08,Failure,Uttar Pradesh,Biometric
